Trong các loại văn hóa doanh nghiệp của Daft thì văn hóa sứ mệnh có đặc điểm gì? | The correct answer is: Phong cách lãnh đạo là tổ chức định hướng hành vi
Nhân tố nào quan trọng nhất trong việc đưa ra các quyết định đạo đức trong 1 doanh nghiệp? | The correct answer is: Giá trị đạo đức của người lãnh đạo
Trong biểu trưng trực quan của văn hóa doanh nghiệp thì thiết kế nội thất sẽ? | The correct answer is: Ảnh hưởng đến hành vi của con người về cách thức giao tiếp
Theo Quin và McGrath thì văn hoá doanh nghiệp được chia thành những loại nào? | The correct answer is: Văn hoá kinh tế hay văn hoá thị trường, văn hoá triết lý hay văn hoá đặc thù, văn hoá đồng thuận hay văn hoá phường hội, văn hoá thứ bậc.
Trong các nhân tố sau, nhân tố nào tác động mạnh nhất đến văn hóa doanh nghiệp? | The correct answer is: Nhà lãnh đạo
Tìm phát biểu sai trong các phát biểu sau về Văn hóa? | The correct answer is: Văn hóa mang tính không ổn định, bền vững và có khả năng di truyền qua nhiều thế hệ.
Biểu trưng phi trực quan nào của văn hóa doanh nghiệp là thói quen tư duy theo kinh nghiệm để phản ứng theo cách nhất quán mong muốn hoặc không mong muốn đối với sự vật, hiện tượng? | The correct answer is: Thái độ
Niềm tin trong biểu trưng phi trực quan của văn hóa doanh nghiệp có đặc điểm? | The correct answer is: Được hình thành một cách có ý thức
Trong các loại văn hóa của Sethia và Klinow, văn hoá hiệp lực có đặc điểm nào sau đây? | The correct answer is: Là sự kết hợp giữa mối quan tâm về con người lẫn công việc trong các đặc trưng và phương pháp quản lý vận dụng của tổ chức.
Biểu trưng trực quan nào của văn hóa doanh nghiệp là những hoạt động đã được dự kiến từ trước và chuẩn bị kỹ lưỡng với các hình thức hoạt động, sự kiện văn hóa – xã hội, thể hiện tình cảm, tăng cường mối quan hệ doanh nghiệp vì lợi ích của những người tham gia? | The correct answer is: Nghi lễ
Trong các dạng văn hoá doanh nghiệp của Deal và Kennedy, loại văn hoá nào xuất hiện trong môi trường rủi ro? | The correct answer is: Văn hoá phó thác và văn hoá nam nhi
Nhà lãnh đạo thuộc nhân tố tác động nào đến văn hóa doanh nghiệp? | The correct answer is: Bên trong.
Lý tưởng trong biểu trưng phi trực quan của văn hóa doanh nghiệp có đặc điểm? | The correct answer is: Khó thay đổi
Hành vi đạo đức của nhóm chính thức trong cơ cấu tổ chức có thể được kiểm soát thông qua? | The correct answer is: Cả ba đáp án trên đều đúng
Các nhân tố bên ngoài ảnh hưởng đến văn hóa doanh nghiệp KHÔNG bao gồm? | The correct answer is: Lĩnh vực kinh doanh
Theo Quin và McGrath thì văn hoá đồng thuận hay văn hoá phường hội xuất hiện ở? | The correct answer is: Những tổ chức mong muốn duy trì tinh thần tập thể
Trong các dạng văn hoá doanh nghiệp của Deal và Kennedy, loại văn hoá nào xuất hiện trong môi trường ít rủi ro, nhưng cần phản ứng nhanh? | The correct answer is: Văn hoá làm ra làm, chơi ra chơi
Các hệ thống tổ chức chung là? | The correct answer is: Cả 3 đáp án trên đều đúng
Đặc điểm của Văn hoá nam nhi trong các dạng văn hoá doanh nghiệp của Deal và Kennedy là? | The correct answer is: Xuất hiện khi một tổ chức có những thành viên luôn được khuyến khích sẵn sàng chấp nhận rủi ro, phản ứng nhanh.
Giáo dục đạo đức thường được tổ chức chủ yếu cho ai? | The correct answer is: Cả nhân viên và quản lý
Đặc điểm nào sau đây KHÔNG phải của văn hoá quy trình trong các dạng văn hoá doanh nghiệp của Deal và Kennedy? | The correct answer is: Có khả năng thích ứng và sáng tạo cao
Các nhân tố bên ngoài ảnh hưởng đến văn hóa doanh nghiệp KHÔNG bao gồm? | The correct answer is: Lịch sử và truyền thống doanh nghiệp.
Biểu trưng trực quan nào của văn hóa doanh nghiệp dùng để biểu thị hình ảnh, ý tưởng với ý nghĩa nhất định, có tác dụng giúp mọi người nhận ra hay hiểu được giá trị mà nó biểu thị? | The correct answer is: Biểu tượng
Trong các dạng văn hoá doanh nghiệp của Deal và Kennedy, loại văn hoá nào xuất hiện trong môi trường ít rủi ro, không cần phản ứng nhanh? | The correct answer is: Văn hoá quy trình.
Theo Quin và McGrath khi tổ chức muốn đảm bảo thực thi quy chế, duy trì tình trạng ổn định và được giám sát chặt chẽ thì văn hoá nào sẽ xuất hiện? | The correct answer is: Văn hoá thứ bậc
Hoạt động của nhóm phi chính thức trong cơ cấu tổ chức theo? | The correct answer is: Cơ chế tự phát, tự quản
Biểu trưng trực quan của văn hóa doanh nghiệp? | The correct answer is: Lễ nghi, mẩu chuyện, ngôn ngữ và biểu tượng
Văn hoá doanh nghiệp có đặc điểm? | The correct answer is: Liên quan đến nhận thức, và có tính thực chứng
Phát biểu nào sau đây là sai khi nói về nhân tố tạo lập văn hóa doanh nghiệp? | The correct answer is: Sự gương mẫu về giá trị đạo đức của lãnh đạo không thể truyền đến người lao động.
Theo Scholz, dạng văn hóa nào có nhân tố bên trong ảnh hưởng đến quyết định văn hoá tổ chức? | The correct answer is: Văn hoá nội sinh
Phát biểu nào sau đây là sai khi nói về văn hoá vai trò trong các dạng văn hoá doanh nghiệp của Harrison/Handy? | The correct answer is: Không được phối hợp và kiểm soát thống nhất bởi nhóm quản lý cấp cao
Các biểu trưng trực quan của văn hóa doanh nghiệp bao gồm? | The correct answer is: Biểu tượng, lễ nghi, tuyên bố, khẩu hiệu, ấn phẩm
Văn hoá doanh nghiệp được định hình và phát triển qua quá trình lịch sử là? | The correct answer is: Hệ thống
Chọn câu SAI trong các phát biểu sau? | The correct answer is: Văn hoá công việc không thể chuyển đổi thành một loại văn hoá khác
“Các quyết định thể hiện sự thống nhất của tập thể, phong cách lãnh đạo chỉ là yếu tố cần tôn trọng và ủng hộ”. Phát biểu này đang nói về phong cách lãnh đạo thuộc loại văn hoá nào của Quin và McGrath? | The correct answer is: Văn hoá đồng thuận hay văn hoá phường hội
Trong các dạng văn hoá doanh nghiệp của Deal và Kennedy, loại văn hoá nào yêu cầu phản ứng nhanh? | The correct answer is: Văn hoá nam nhi và văn hoá làm ra làm, chơi ra chơi
Về phương diện đạo đức, một vấn đề rất quan trọng của nhóm phi chính thức trong hệ thống các nhóm tổ chức là? | The correct answer is: Tiêu chuẩn năng lực
Văn hoá doanh nghiệp được hình thành từ những yếu tố nào? | The correct answer is: Hệ giá trị, tập quán, thói quen, lối ứng xử, các chuẩn mực xã hội
Nhân tố tạo lập văn hóa doanh nghiệp không bao gồm? | The correct answer is: Quản lý theo mục tiêu
Văn hoá doanh nghiệp có thể? | The correct answer is: Được truyền lại
Phát biểu nào sau đây là sai khi nói về quản lý hình tượng? | The correct answer is: Chú trọng đến lời nói hơn là việc làm
Đặc điểm của văn hoá làm ra làm, chơi ra chơi trong các dạng văn hoá doanh nghiệp của Deal và Kennedy là? | The correct answer is: Khuyến khích thi đua giữa các cá nhân.
Trong các dạng văn hoá doanh nghiệp của Deal và Kennedy, đặc điểm của văn hoá làm ra làm, chơi ra chơi là? | The correct answer is: Rủi ro sẽ được hạn chế đến mức thấp nhất
Trong các dạng văn hoá doanh nghiệp của Deal và Kennedy, loại văn hoá nào không yêu cầu phản ứng nhanh? | The correct answer is: Văn hoá quy trình và văn hoá phó thác
Văn hóa doanh nghiệp bao gồm những loại nào? | The correct answer is: Cả văn hóa hữu hình và vô hình.
